%% system starts processing frames at time: 0.922104 sec.
%%frame id(0 based), finish frame proc time in secs, R,P,Y of Rc2w in radians,X,Y,Z of T c in w in meters.
0, 1.344, 0, -0, 0, -0, -0, -0
1, 1.73465, 0.00268706, -0.00699676, 0.000211188, -0, -0, -0
2, 1.78149, 0.000590659, -0.0158467, 0.000761582, -0, -0, -0
3, 1.82836, -0.00218815, -0.0223691, 0.00122647, -0, -0, -0
4, 1.85963, -0.00308682, -0.0270137, 0.00139824, -0, -0, -0
5, 1.90651, -0.00281965, -0.0300821, 0.00139986, -0, -0, -0
6, 1.95337, -0.00285654, -0.0337201, 0.00116257, -0, -0, -0
7, 1.98463, -0.00263999, -0.0330498, -6.23461e-005, -0, -0, -0
8, 2.03149, -0.00252222, -0.0312344, -0.00135731, -0, -0, -0
9, 2.06276, -0.00426265, -0.0246345, -0.0015803, -0, -0, -0
10, 2.09401, -0.00264196, -0.0122801, -0.00242564, -0, -0, -0
11, 2.25026, 0.00164543, -0.0449748, -0.00369584, -0.0030934, -0.000905652, 0.0993112
12, 2.40651, 0.00186506, -0.047186, -0.00315439, -0.0036371, -0.000973584, 0.109248
13, 2.45337, 0.00233388, -0.0490023, -0.000309594, -0.00410374, -0.00106017, 0.119329
14, 2.50051, 0.00146235, -0.0510487, -0.000149096, -0.0046489, -0.00117229, 0.129481
15, 2.6099, 0.00165006, -0.0525203, 0.00154183, -0.00521127, -0.00125627, 0.139736
16, 2.65676, 0.00409441, -0.0543244, -0.00085705, -0.00583517, -0.00135503, 0.149896
17, 2.70364, 0.00674459, -0.0556432, -0.0013514, -0.00647872, -0.0014714, 0.160339
18, 2.75053, 0.00866036, -0.0573434, -0.00529183, -0.00716905, -0.00156635, 0.170794
19, 2.78177, 0.00837867, -0.0582298, -0.00588354, -0.00790564, -0.00169931, 0.1815
20, 2.92239, 0.00672984, -0.0596307, -0.00502066, -0.00860802, -0.00193166, 0.192383
21, 2.96927, 0.0051293, -0.0612415, -0.00557993, -0.00923261, -0.00208295, 0.203597
22, 3.01614, 0.00497458, -0.0623026, -0.00527468, -0.0099511, -0.00226058, 0.214562
23, 3.17241, 0.00571588, -0.0637078, -0.00488058, -0.010787, -0.0024278, 0.22566
24, 3.21927, 0.00644324, -0.0648092, -0.00329607, -0.0114964, -0.00252197, 0.236701
25, 3.26614, 0.00491016, -0.0654026, -0.00328481, -0.0122543, -0.00261932, 0.247886
26, 3.29739, 0.00175121, -0.0652988, -0.00425823, -0.0131444, -0.00270155, 0.259323
27, 3.43804, -0.00194209, -0.0644795, -0.00526331, -0.0139632, -0.00286128, 0.270769
28, 3.48492, -0.00536908, -0.0628199, -0.00412871, -0.01463, -0.0030596, 0.281976
29, 3.51617, -0.00618791, -0.0611475, -0.00437562, -0.0154126, -0.00313804, 0.293476
30, 3.56302, -0.00348076, -0.0595862, -0.00445141, -0.0161892, -0.0032225, 0.30493
31, 3.59429, 0.00146035, -0.0586738, -0.00551371, -0.0169799, -0.00326581, 0.316665
32, 3.71929, 0.00440576, -0.0577522, -0.00453603, -0.0175666, -0.00329882, 0.328316
33, 3.76615, 0.00348638, -0.056616, -0.00251217, -0.0182341, -0.00337023, 0.340012
